Rank,EntryId,Username,Score,Max Possible Score,Winnings,Rd of 64,Rd of 32,Rd of 16,Rd of 8,Last 4,Championship,Tiebreaker
1501,e983d612-b6f3-49b7-94cf-0420138d762f,aro93,0,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 8 Maryland | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 9 Auburn | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 2 Marquette | 1 Alabama | 5 San Diego State | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 6 TCU | 2 UCLA,1 Purdue | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 1 Kansas | 2 UCLA,2 Marquette | 1 Alabama | 2 Texas | 1 Kansas,1 Alabama | 1 Kansas,1 Alabama,144
1501,bd8dd03b-678f-48c4-9644-9e1108de818e,arrows15,0,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 11 Providence | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 8 Maryland | 12 Charleston | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 9 Auburn | 12 Drake | 13 Kent State | 11 Pittsburgh | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 11 Arizona State | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 10 USC | 1 Alabama | 12 Charleston | 6 Creighton | 2 Arizona | 1 Houston | 13 Kent State | 3 Xavier | 7 Texas A&M | 1 Kansas | 5 Saint Mary's | 3 Gonzaga | 2 UCLA,5 Duke | 10 USC | 1 Alabama | 2 Arizona | 1 Houston | 7 Texas A&M | 1 Kansas | 2 UCLA,10 USC | 1 Alabama | 1 Houston | 2 UCLA,1 Alabama | 2 UCLA,2 UCLA,162
1501,5715e1fa-ca6a-43b5-ac47-bfdfc1992385,ArtfulPossum,0,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 8 Maryland | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 4 Tennessee | 3 Kansas State | 2 Marquette | 1 Alabama | 4 Virginia | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,1 Purdue | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 1 Kansas | 2 UCLA,1 Purdue | 1 Alabama | 1 Houston | 1 Kansas,1 Alabama | 1 Kansas,1 Kansas,230
1501,32c43aab-a889-4e3e-bff2-ce0af2e15915,artmike4140,0,1920,0,1 Purdue | 8 Memphis | 5 Duke | 13 Louisiana | 6 Kentucky | 3 Kansas State | 7 Michigan State | 15 Vermont | 1 Alabama | 8 Maryland | 5 San Diego State | 4 Virginia | 11 North Carolina State | 3 Baylor | 10 Utah State | 15 Princeton | 1 Houston | 9 Auburn | 12 Drake | 13 Kent State | 11 Pittsburgh | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 11 Arizona State | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 5 Duke | 6 Kentucky | 7 Michigan State | 8 Maryland | 5 San Diego State | 11 North Carolina State | 15 Princeton | 9 Auburn | 12 Drake | 11 Pittsburgh | 10 Penn State | 8 Arkansas | 4 UConn | 11 Arizona State | 2 UCLA,5 Duke | 7 Michigan State | 8 Maryland | 15 Princeton | 12 Drake | 10 Penn State | 4 UConn | 2 UCLA,5 Duke | 15 Princeton | 10 Penn State | 2 UCLA,5 Duke | 2 UCLA,2 UCLA,2
1501,c0aab319-adf7-4eb6-a0dc-7bf4f2518a04,ascension2020,0,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 8 Maryland | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 9 Illinois | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 2 Marquette | 1 Alabama | 5 San Diego State | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 5 Saint Mary's | 3 Gonzaga | 2 UCLA,1 Purdue | 3 Kansas State | 1 Alabama | 3 Baylor | 1 Houston | 3 Xavier | 1 Kansas | 2 UCLA,1 Purdue | 3 Baylor | 1 Houston | 1 Kansas,1 Purdue | 1 Kansas,1 Kansas,156
1501,69eba6d7-2c9a-436d-b9aa-a9cbf59ffdb2,asreddy95,0,1920,0,1 Purdue | 8 Memphis | 12 Oral Roberts | 4 Tennessee | 6 Kentucky | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 8 Maryland | 12 Charleston | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 16 Northern Kentucky | 9 Auburn | 5 Miami (FL) | 4 Indiana | 11 Pittsburgh | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 11 Arizona State | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 4 Tennessee | 3 Kansas State | 7 Michigan State | 8 Maryland | 4 Virginia | 6 Creighton | 7 Missouri | 16 Northern Kentucky | 5 Miami (FL) | 11 Pittsburgh | 2 Texas | 1 Kansas | 4 UConn | 11 Arizona State | 2 UCLA,4 Tennessee | 3 Kansas State | 8 Maryland | 6 Creighton | 16 Northern Kentucky | 11 Pittsburgh | 1 Kansas | 11 Arizona State,3 Kansas State | 6 Creighton | 11 Pittsburgh | 11 Arizona State,6 Creighton | 11 Pittsburgh,11 Pittsburgh,1
1501,45468b51-2e83-4386-9888-6e2e33f59862,AUNTJUDYISALOSER,0,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 8 Maryland | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 9 Illinois | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 2 Marquette | 1 Alabama | 4 Virginia | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,1 Purdue | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 1 Kansas | 2 UCLA,1 Purdue | 1 Alabama | 1 Houston | 1 Kansas,1 Alabama | 1 Kansas,1 Alabama,148
1501,3019015e-3977-4e17-a73c-4ca7c599009d,austinscott7,0,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 8 Maryland | 5 San Diego State | 4 Virginia | 11 North Carolina State | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 5 Duke | 6 Kentucky | 2 Marquette | 1 Alabama | 4 Virginia | 3 Baylor | 2 Arizona | 1 Houston | 5 Miami (FL) | 6 Iowa State | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,5 Duke | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 4 UConn | 3 Gonzaga,2 Marquette | 1 Alabama | 1 Houston | 3 Gonzaga,1 Alabama | 1 Houston,1 Houston,148
1501,128c80ed-5829-4689-903e-616e24e915a1,avandemark22,0,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 8 Maryland | 5 San Diego State | 4 Virginia | 11 North Carolina State | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 2 Marquette | 1 Alabama | 4 Virginia | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 6 TCU | 2 UCLA,5 Duke | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 1 Kansas | 2 UCLA,5 Duke | 1 Alabama | 2 Texas | 1 Kansas,1 Alabama | 1 Kansas,1 Alabama,150
1501,60bbe93b-6ff4-4feb-8fcb-5ab052902148,avilladolid,0,1920,0,1 Purdue | 8 Memphis | 5 Duke | 13 Louisiana | 11 Providence | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 8 Maryland | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 9 Auburn | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 9 Illinois | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 2 Marquette | 1 Alabama | 4 Virginia | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,5 Duke | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 4 UConn | 2 UCLA,5 Duke | 1 Alabama | 2 Texas | 4 UConn,1 Alabama | 4 UConn,4 UConn,151
